unknown,Fitch,My,Sankoff
0.0,94.02,91.24,50.16
0.05,93.08,89.22,94.2
0.1,92.09,87.17,93.06
0.15,91.0,85.11,91.8
0.2,89.95,83.11,90.62
0.25,88.77,81.08,89.24
0.3,87.55,78.99,87.81
0.35,86.27,76.91,86.39
0.4,85.01,74.92,84.98
0.45,83.54,72.81,83.23
0.5,82.03,70.77,81.57
0.55,80.31,68.68,79.65
0.6,78.65,66.67,77.7
0.65,76.64,64.54,75.58
0.7,74.54,62.51,73.36
0.75,72.08,60.39,70.75
0.8,69.66,58.33,68.19
0.85,66.4,56.24,64.9
0.9,62.82,54.17,60.98
0.95,58.07,52.1,56.64

